0,0,-1,0,-1,1,-1,1,0,-1,0,1,-1,-1,1,-1,1,0,0,0,0,0
0,0,-1,-1,-1,0,0,0,1,-1,-1,1,0,-2,0,0,0,1,0,0,0,0
0,-1,0,1,0,1,0,1,-1,-1,-1,0,-1,0,1,0,1,1,0,-1,0,-1
-1,0,-1,1,1,1,0,1,0,-1,0,-1,-1,0,1,0,1,0,1,0,-1,0
0,1,-1,0,-2,-1,-1,0,0,-1,0,1,1,-1,0,-1,0,0,0,-1,0,1
-1,0,1,0,1,0,1,-1,-1,-1,0,-1,0,1,0,1,1,0,-1,0,-1,0
-1,0,0,-1,-1,-1,0,0,0,1,-1,0,1,0,-2,0,0,0,1,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
0,-1,-1,-1,0,0,0,1,-1,-1,0,0,-2,0,0,0,1,0,0,0,0,1
0,0,1,0,0,-1,1,0,2,1,1,0,1,0,-1,-1,-1,1,0,1,0,0
0,0,0,-1,-1,-1,-2,0,0,-1,-1,2,0,0,0,-1,0,0,0,0,-1,0
6,-2,10,-1,-12,1,3,0,-3,-1,0,-6,-3,-5,7,4,-2,-4,8,6,-8,3
1,-5,4,-11,1,12,1,-4,1,3,1,-2,7,2,4,-6,-4,3,2,-8,-6,8
-2,10,-1,-12,1,3,0,-3,-1,0,6,-3,-5,7,4,-2,-4,8,6,-8,3,-6
-1,0,6,-3,11,0,-12,1,4,1,-2,-8,2,-6,-3,-5,7,3,-2,-2,8,6
10,0,-13,0,2,1,-3,0,0,6,-4,-4,7,2,-3,-3,9,6,-7,2,-6,-3
-1,-13,-1,3,0,-2,0,-1,6,-4,10,6,3,-4,-2,9,6,-7,2,-6,-2,-5
-13,-1,3,-1,-2,-1,0,5,-3,10,-2,3,-3,-3,8,7,-8,3,-6,-2,-5,6
5,4,-8,-2,-2,8,6,-7,-9,0,-2,-5,-6,1,-9,-14,-9,3,-2,-3,-12,-5
3,0,1,-7,3,-10,0,12,-1,-3,-1,-5,7,-2,6,3,5,-7,-4,3,3,-9
0,2,1,0,-6,2,-11,0,13,1,-4,-8,-5,8,-3,6,1,5,-6,-3,3,2
1,3,0,-3,-1,0,6,-2,10,-1,-12,-2,-4,8,6,-8,3,-6,-3,-5,7,4
